Attendee,Join Time,Leave Time,Join Time Number,Leave Time Number
Meghan Ford,11/9/2020 13:56,11/9/2020 18:51,1915451760,1915469460
Leslie Fisher,11/9/2020 13:53,11/9/2020 18:52,1915451580,1915469520
Dayana Mcpherson,11/9/2020 13:56,11/9/2020 16:28,1915451760,1915460880
Dayana Mcpherson,11/9/2020 17:52,11/9/2020 18:13,1915465920,1915467180
Colton Knapp,11/9/2020 14:05,11/9/2020 14:18,1915452300,1915453080
Colton Knapp,11/9/2020 14:19,11/9/2020 19:03,1915453140,1915470180
Braiden Nelson,11/9/2020 18:43,11/9/2020 19:00,1915468980,1915470000
Amani Spencer,11/9/2020 13:41,11/9/2020 19:03,1915450860,1915470180
Jamar Hanna,11/9/2020 14:23,11/9/2020 16:13,1915453380,1915459980
Kayden Hancock,11/9/2020 13:33,11/9/2020 19:03,1915450380,1915470180
Finley Graham,11/9/2020 13:21,11/9/2020 18:09,1915449660,1915466940
Kane Mack,11/9/2020 13:23,11/9/2020 13:24,1915449780,1915449840
Kane Mack,11/9/2020 13:52,11/9/2020 18:10,1915451520,1915467000
Agustin Hogan,11/9/2020 16:01,11/9/2020 17:02,1915459260,1915462920
Trent Tate,11/9/2020 14:26,11/9/2020 15:08,1915453560,1915456080
Trent Tate,11/9/2020 15:13,11/9/2020 15:16,1915456380,1915456560
Zoe Bright,11/9/2020 16:47,11/9/2020 17:17,1915462020,1915463820
Zoe Bright,11/9/2020 14:01,11/9/2020 15:59,1915452060,1915459140
Zoe Bright,11/9/2020 17:30,11/9/2020 17:50,1915464600,1915465800
Brielle Davila,11/9/2020 13:59,11/9/2020 18:02,1915451940,1915466520
Jasmine Stafford,11/9/2020 13:58,11/9/2020 15:26,1915451880,1915457160
Jasmine Stafford,11/9/2020 13:56,11/9/2020 13:57,1915451760,1915451820
Jaylee Huber,11/9/2020 16:04,11/9/2020 16:19,1915459440,1915460340
Jaylee Huber,11/9/2020 14:42,11/9/2020 15:05,1915454520,1915455900
Jaylee Huber,11/9/2020 15:19,11/9/2020 16:04,1915456740,1915459440
Jaylee Huber,11/9/2020 16:29,11/9/2020 18:06,1915460940,1915466760
Koen Kane,11/9/2020 14:14,11/9/2020 14:30,1915452840,1915453800
Dayana Fitzgerald,11/9/2020 15:10,11/9/2020 18:08,1915456200,1915466880
Jaidyn Choi,11/9/2020 14:03,11/9/2020 16:12,1915452180,1915459920
Jaidyn Choi,11/9/2020 13:58,11/9/2020 14:03,1915451880,1915452180
Tiffany Shields,11/9/2020 13:54,11/9/2020 19:03,1915451640,1915470180
Jadon Mcbride,11/9/2020 13:53,11/9/2020 14:03,1915451580,1915452180
Jadon Mcbride,11/9/2020 14:04,11/9/2020 14:52,1915452240,1915455120
Deshawn Mitchell,11/9/2020 15:12,11/9/2020 15:13,1915456320,1915456380
Deshawn Mitchell,11/9/2020 15:17,11/9/2020 15:35,1915456620,1915457700
Deshawn Mitchell,11/9/2020 14:54,11/9/2020 15:00,1915455240,1915455600
Deshawn Mitchell,11/9/2020 13:57,11/9/2020 14:54,1915451820,1915455240
Preston Robertson,11/9/2020 14:03,11/9/2020 17:16,1915452180,1915463760
Milo Crawford,11/9/2020 14:03,11/9/2020 17:36,1915452180,1915464960
Alannah Oliver,11/9/2020 14:42,11/9/2020 19:03,1915454520,1915470180
Marlene Lin,11/9/2020 17:32,11/9/2020 18:06,1915464720,1915466760
Marlene Lin,11/9/2020 14:09,11/9/2020 15:01,1915452540,1915455660
German Leonard,11/9/2020 18:01,11/9/2020 18:04,1915466460,1915466640
German Leonard,11/9/2020 13:28,11/9/2020 18:01,1915450080,1915466460
German Leonard,11/9/2020 18:04,11/9/2020 19:03,1915466640,1915470180
Leland Rasmussen,11/9/2020 13:57,11/9/2020 18:24,1915451820,1915467840
